"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"223",0,0,0,0,0,0,0,0,0,0
"224",0,0,0,0,0,0,0,0,0,0
"225",0,1,0,0,0,0,0,1,1,1
"226",0,0,0,0,0,0,0,0,0,0
"227",0,0,0,0,0,0,0,0,0,0
"228",0,0,0,0,0,0,0,0,1,0
"229",0,0,0,1,0,1,0,0,1,0
"230",0,0,0,0,0,1,0,0,1,0
"231",0,1,0,0,0,0,0,0,1,0
"232",0,0,0,0,0,0,0,0,1,0
"233",0,0,0,0,0,0,0,0,0,0
"234",0,0,0,0,0,0,0,0,0,0
"235",0,1,0,0,0,0,0,1,0,0
"236",0,0,0,0,0,0,0,0,0,0
"237",0,1,0,0,1,0,1,1,0,1
"238",0,1,0,0,0,0,0,0,0,2
"239",0,1,0,0,0,0,0,1,0,0
"240",0,0,0,0,0,0,0,0,0,0
"241",0,1,0,0,1,0,0,1,0,2
"242",0,0,0,0,0,0,0,0,0,0
"243",0,0,0,0,0,0,0,1,0,0
"244",0,0,1,0,0,1,0,0,1,1
"245",0,0,0,0,1,0,0,0,0,1
"246",0,0,0,0,0,0,0,0,0,0
"247",1,0,1,1,0,1,0,0,1,0
"248",0,0,0,0,0,0,0,0,0,0
"249",0,1,0,0,0,0,0,1,0,0
"250",1,0,1,1,0,0,0,1,1,0
"251",0,0,0,0,0,0,0,0,0,0
"252",0,0,0,0,0,0,0,0,0,0
"253",0,3,0,0,1,0,0,2,0,1
"254",0,0,0,0,0,0,0,1,0,0
"255",0,1,0,0,0,0,0,0,1,0
"256",0,0,0,0,0,0,1,0,0,0
"257",0,1,0,0,0,0,0,0,0,0
"258",0,1,0,1,1,0,0,1,0,1
"259",0,0,0,0,1,0,0,0,0,1
"260",0,1,0,0,0,0,0,0,0,0
"261",0,0,0,0,0,0,0,0,0,0
"262",0,0,0,0,0,0,0,0,0,0
"263",0,0,0,0,0,0,0,0,0,0
"264",0,0,0,0,0,0,0,0,0,0
"265",0,1,0,0,0,1,0,1,1,0
"266",0,0,0,0,0,0,0,0,1,0
"267",0,0,0,0,0,0,0,0,0,0
"268",0,0,0,0,0,0,0,0,0,0
"269",0,0,0,1,0,1,0,1,1,0
"270",0,1,0,0,1,0,1,1,0,1
"271",1,0,0,0,0,0,0,0,0,0
"272",0,1,0,0,0,0,0,1,0,0
"273",0,0,0,1,1,1,1,2,2,2
"274",0,0,0,0,0,0,0,0,0,0
"275",2,0,0,1,1,1,0,0,3,2
"276",0,1,0,0,1,0,1,1,1,1
"277",0,0,0,0,1,1,0,1,1,2
"278",0,0,0,0,0,0,0,0,0,0
"279",0,0,0,0,0,0,0,0,0,0
"280",0,0,0,0,0,0,0,0,0,0
"281",0,0,0,1,0,0,0,0,0,0
"282",0,1,0,0,0,0,0,1,0,0
"283",0,0,0,0,0,0,0,0,0,1
"284",0,1,0,0,1,1,1,2,1,2
"285",0,1,0,0,0,0,0,1,0,0
"286",0,0,0,0,0,0,0,0,0,0
"287",1,1,0,1,0,0,0,0,2,0
"288",0,1,0,0,1,0,0,2,0,2
"289",0,1,0,0,1,1,0,1,1,1
"290",0,0,0,0,1,0,0,0,0,1
"291",0,0,0,0,0,0,0,0,1,0
"292",0,0,0,0,0,0,0,0,0,0
"293",0,0,0,0,0,0,0,0,0,0
"294",0,0,0,0,0,0,0,0,0,1
"295",1,0,0,1,1,0,0,0,1,1
"296",0,0,0,0,0,0,0,0,0,0
"297",0,0,0,0,0,0,0,0,0,0
"298",0,0,0,0,0,0,0,0,0,0
"299",0,1,0,0,0,0,0,0,0,0
"300",0,0,0,0,0,0,1,0,0,0
"301",0,0,0,0,0,0,0,0,0,0
"302",0,0,0,0,1,0,0,0,0,1
"303",0,1,0,0,0,0,0,0,1,0
"304",0,0,0,0,0,0,0,0,0,0
"305",1,0,1,1,0,1,1,0,1,0
"306",0,2,0,0,1,0,1,3,0,3
"307",2,1,2,1,1,2,0,2,3,1
"308",0,2,0,0,1,0,0,0,1,1
"309",0,1,0,0,1,0,0,1,0,2
"310",1,1,1,3,0,1,0,0,1,0
"311",1,0,1,1,2,0,0,0,1,2
"312",0,1,0,0,0,0,0,0,0,0
"313",0,0,0,0,0,0,0,0,0,0
"314",0,1,0,1,1,0,0,1,0,1
"315",0,0,0,0,0,0,0,0,0,0
"316",0,1,0,0,0,0,0,0,0,0
"317",0,0,0,1,0,1,0,0,2,0
"318",0,0,0,0,2,0,0,1,0,3
"319",0,0,0,0,0,1,0,0,2,0
"320",0,0,0,0,1,0,0,1,0,2
"321",1,0,0,2,0,1,1,1,1,1
"322",0,1,0,0,0,0,0,1,0,0
"323",1,0,1,0,1,0,0,1,1,2
"324",0,0,0,0,0,0,0,0,0,0
"325",0,0,0,0,0,0,0,0,0,0
"326",1,2,1,1,1,2,0,1,2,2
"327",0,1,0,1,0,0,0,0,0,0
"328",0,0,0,0,0,0,0,0,0,0
"329",0,1,0,0,0,0,0,1,1,1
"330",0,0,0,0,0,0,0,0,0,0
"331",0,0,0,0,0,0,0,0,0,0
"332",1,0,0,1,0,1,0,0,2,0
"333",1,1,0,1,0,0,0,0,2,0
"334",0,0,0,0,0,0,0,0,0,0
"335",0,0,0,0,0,0,0,0,0,0
"336",0,0,0,0,1,0,0,0,0,1
"337",0,2,0,2,1,1,0,1,2,3
"338",0,0,0,0,0,0,0,0,0,0
"339",0,0,0,0,0,0,0,0,0,0
"340",0,1,1,0,1,0,0,0,1,2
"341",0,0,0,0,0,0,0,0,0,0
"342",1,1,0,0,1,0,0,1,0,2
"343",0,0,0,0,0,0,0,0,0,0
"344",0,0,0,0,0,0,0,0,0,0
"345",0,1,0,1,1,0,0,1,0,1
"346",0,0,0,0,0,0,0,0,0,0
"347",0,0,0,0,0,0,0,0,0,0
"348",0,0,0,0,0,0,1,0,0,1
"349",0,0,0,0,0,0,0,0,2,0
"350",0,0,0,0,0,0,0,0,1,2
"351",0,1,0,0,0,0,0,1,0,0
"352",0,2,0,2,1,1,0,1,2,3
"353",0,0,0,1,0,0,0,0,0,0
"354",0,0,0,0,0,0,0,0,0,0
"355",0,0,0,0,0,0,0,0,0,0
"356",0,0,0,0,0,0,0,0,0,0
"357",1,1,0,0,0,0,1,0,1,0
"358",0,0,0,0,0,0,0,0,0,1
"359",0,0,0,0,0,0,0,0,0,0
"360",0,2,0,0,0,0,0,0,0,0
"361",0,1,0,0,0,0,0,0,0,0
"362",0,0,0,0,0,0,0,1,0,0
"363",0,0,0,0,0,0,0,0,0,0
"364",0,1,0,0,0,0,0,1,0,0
"365",0,1,1,0,0,0,0,0,1,0
"366",0,0,0,0,0,0,0,0,0,0
"367",0,0,0,0,0,0,0,0,0,0
"368",0,2,0,1,0,0,0,0,0,0
"369",1,0,0,0,0,0,1,0,1,1
"370",0,0,0,0,0,0,0,0,1,2
"371",0,0,0,0,0,0,0,0,0,0
"372",0,1,1,0,1,0,1,2,0,3
"373",0,0,0,0,0,0,0,0,0,0
"374",0,0,0,0,0,0,0,0,0,0
"375",1,1,0,1,0,0,0,0,2,0
"376",0,1,0,0,0,0,0,1,1,1
"377",0,2,0,0,1,0,0,0,1,1
"378",0,1,0,0,0,0,0,1,0,0
"379",0,1,0,0,1,0,0,1,0,2
"380",0,1,0,1,0,0,0,0,0,0
"381",0,0,0,0,0,0,0,0,0,0
"382",0,0,0,0,0,0,0,0,0,0
"383",0,0,0,0,0,0,0,0,1,2
"384",0,0,0,0,0,0,0,0,0,0
"385",0,2,0,0,1,0,1,1,0,1
"386",0,0,0,0,0,0,0,1,0,0
"387",0,1,0,0,0,0,0,0,1,0
"388",0,0,0,0,1,0,0,0,0,1
"389",0,1,0,0,1,0,1,1,1,1
"390",0,0,0,0,0,0,0,0,0,0
"391",0,0,0,1,1,1,0,1,1,1
"392",0,0,0,0,0,0,0,0,0,0
"393",0,0,0,0,1,0,0,0,0,1
"394",0,1,0,0,0,0,0,0,0,0
"395",0,1,0,0,0,0,0,1,0,0
"396",0,1,0,0,1,0,0,1,0,2
"397",0,1,0,0,1,0,1,1,0,1
"398",0,2,0,1,0,0,0,0,0,0
"399",0,0,0,0,1,0,0,1,0,1
"400",0,1,0,0,0,0,0,0,1,0
"401",0,0,0,0,0,0,0,0,0,1
"402",0,0,0,0,0,0,0,0,0,1
"403",0,1,0,0,1,0,1,1,1,1
"404",0,1,0,0,1,0,0,1,0,1
"405",1,0,1,1,0,1,0,0,1,0
"406",0,0,0,0,0,0,0,0,0,0
"407",0,0,0,0,1,0,0,0,0,1
"408",0,0,0,0,0,0,0,1,1,1
"409",0,0,0,0,0,0,0,0,0,1
"410",0,1,0,0,0,0,0,0,0,0
"411",0,2,0,1,1,1,1,2,1,1
"412",0,0,0,0,0,0,0,0,0,0
"413",2,1,1,1,1,1,0,2,2,2
"414",0,2,0,0,1,0,0,1,0,1
"415",0,1,0,0,1,0,1,1,0,1
"416",0,0,0,0,0,0,0,0,1,2
"417",0,0,0,0,0,0,0,0,0,0
"418",0,1,1,0,1,0,1,1,0,1
"419",0,0,0,0,0,0,0,0,0,0
"420",0,0,0,0,0,0,0,0,0,0
"421",2,0,0,1,1,1,0,0,3,2
"422",0,0,0,0,0,0,0,0,0,0
"423",0,0,0,0,0,0,0,0,0,0
"424",0,0,0,0,0,0,0,0,0,1
"425",0,2,0,0,0,0,0,1,0,1
