"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"289",0,2,0,0,0,1,0,2,1,4
"290",0,0,0,0,0,0,0,0,0,0
"291",0,0,0,0,0,0,0,0,0,0
"292",0,0,0,0,0,0,0,0,0,0
"293",0,1,0,0,0,0,0,0,0,1
"294",0,0,0,0,0,0,0,0,0,0
"295",0,0,0,0,0,0,0,0,0,0
"296",0,0,0,0,0,0,0,0,0,0
"297",0,0,0,0,0,0,0,0,0,1
"298",0,0,0,0,1,0,0,0,0,1
"299",1,2,0,0,0,0,1,2,0,2
"300",0,0,0,0,0,0,0,0,0,0
"301",0,0,0,0,0,0,0,0,0,0
"302",0,0,0,0,0,0,0,1,0,1
"303",0,1,1,0,1,0,1,1,0,1
"304",0,1,0,0,0,0,0,0,1,0
"305",0,0,0,0,0,0,0,0,0,0
"306",0,0,0,0,0,0,0,1,0,1
"307",0,0,0,0,0,0,0,0,0,0
"308",0,1,0,1,1,0,0,3,0,2
"309",0,0,0,0,1,0,0,0,0,1
"310",0,0,0,0,0,0,0,0,0,0
"311",2,0,0,2,0,1,1,0,3,0
"312",0,0,0,0,0,0,0,0,0,0
"313",0,0,0,0,1,0,0,0,0,1
"314",0,0,0,0,0,0,0,0,0,0
"315",0,0,0,1,0,0,0,0,0,0
"316",0,0,0,0,0,0,0,0,0,0
"317",2,0,1,0,0,1,0,0,2,0
"318",0,0,0,0,0,0,0,0,0,0
"319",0,0,0,0,0,0,0,0,0,0
"320",0,0,0,0,0,0,0,0,0,0
"321",0,0,0,0,1,0,0,0,0,1
"322",0,0,0,0,0,0,0,0,0,0
"323",0,0,0,0,0,0,0,0,0,0
"324",0,0,0,0,0,0,0,0,0,0
"325",0,0,0,0,0,0,0,0,0,0
"326",0,0,0,0,1,0,0,0,0,1
"327",1,0,0,1,0,0,0,0,0,1
"328",0,0,0,0,1,0,0,0,0,1
"329",1,0,0,0,1,1,0,1,1,1
"330",0,0,0,0,0,0,0,0,0,1
"331",0,1,0,1,1,0,0,1,0,1
"332",0,1,0,0,0,0,0,0,0,0
"333",1,1,0,0,0,1,0,0,1,0
"334",0,1,0,1,0,0,0,0,0,0
"335",0,0,0,0,1,0,0,0,0,1
"336",0,0,0,0,0,0,0,0,0,0
"337",0,0,0,0,0,0,0,0,0,0
"338",0,0,0,0,1,0,0,0,0,1
"339",2,1,2,2,0,2,0,1,2,1
"340",0,0,0,0,0,0,0,0,0,0
"341",1,0,1,0,0,0,0,0,1,1
"342",0,0,0,0,0,0,0,1,0,0
"343",0,0,0,0,1,0,0,0,0,1
"344",0,0,0,0,1,0,0,0,0,1
"345",0,0,0,0,0,0,0,0,0,0
"346",0,0,0,0,0,0,0,0,0,0
"347",0,0,0,0,0,0,0,0,0,0
"348",1,2,1,1,0,1,1,0,3,2
"349",0,0,1,0,0,1,0,0,1,0
"350",1,0,1,0,0,0,0,0,1,1
